review,label
"Next of Kin<br /><br />There's a lot of potential wasted here in this story of a redneck (Liam Neeson) whose big city brother (Bill Paxton in a brief cameo) is killed by crime lords (including a very young Ben Stiller). Taking revenge into his own hands, the redneck makes the trek to the big city and there finds his other brother, a cop (Patrick Swayze), doing virtually nothing about the case. Swayze tries to stop his brother from comitting murder--vengeance is up to the law--but he won't hear any of it.<br /><br />This could have been an amazing sort of culture clash revenge movie fueled by some great performances (we've got a top-notch cast here!), but it's wasted because the film is (a) too long, (b) too stupid, and (c) far too inept to notice that the potential for great film is somewhere deep down below.<br /><br />What a disappointment.<br /><br />Rated R for violence and language.<br /><br />**",unsup
"Final Fantasy VIII was regarded as ""flawed"" by many Final Fantasy fans upon release. The truth is, they were too busy re-playing Final Fantasy VII to realise exactly what had just be created.<br /><br />Final Fantasy VIII is not only my favourite game of all time, it's probably the best. To try and explain it right now is very hard, not because of a complex plot or difficult scenario: but because whatever I say will not compare to how much of a masterpiece it really is.<br /><br />I will however, point out some finer points: The characters are the most in-depth, perfect and different individuals you will ever meet in a video game. They're so developed, they seem real. They interact with each other based on their feelings, and you never for a minute feel like they're video game characters. Best of all, they're likable to a point in which you wish you were part of their gang. I cannot express my ""true"" thoughts on how much I worship the characters of Final Fantasy VIII: it would be impossible for me to comprehend.<br /><br />The music is an absolute masterpiece. It's perfect and beautifully crafted. I purchased the soundtrack, and I listen to it on shuffle everyday for a few hours. It always suits the scene or setting, or builds up tension, suspense or just plain excitement. It's awesome.<br /><br />The plot is not basic. It's complex. It's amazing. It's definitely un-flawed, and people are now starting to realise exactly what's so good about the 8th chapter in the Final Fantasy saga.<br /><br />If you could have one game to play forever, I strongly recommend this. It's my choice, and I complete it at least 3 times a year to ensure I never forget about it: although that's not very likely.<br /><br />Overall: The greatest game of all time, without a doubt. A definitive gaming masterpiece for FF fans alike. Pure perfection. (10/10)",unsup
"Not for people without swift mind or without a drop of Balkan blood in their veins. If You don't have any of these You can not understand it. And if you don't understand, you can't enjoy it. :) For example if you think Picasso is a name of a car produced by Citroen, probably if you see a Picasso's painting you just will walk by it, deciding that it's a trash-work of some street painter. :) So do not judge, before trying to understand it :) In the end i think it's a MUST for every one with open minds. Still my N1 remains The Shawshank Redemption! And remember that not all things can be put in frames. Because there are things in this world, that any frame just won't fit.",pos
"As i watched ""Wirey Spindell"" i couldnt but laugh at what was taking place on screen. Wirey sure got a lot of play from both boys and women but i was confused as to why the actor that played Wirey in H.S. was 10 years old. Then the actor changed age to like 20 to play Wirey when he was a senior in HS...but whatever, i thought it was funny.",pos
"Whilst it is universally acknowledged that Fearful Symmetry was heavily influenced by the Kolchak episode They Have Been, They Are, They Will Be, whether this makes it a rip-off or a homage is an altogether more controversial point. As a huge fan of both series I subscribe to the latter belief, although the less charitable may not do. James Whitmore was brave to take on the task of directing such a difficult episode, invisible elephants and gorilla suits sounds like a recipe for disaster, but he pulls it off with style, the teaser being an absolute gem. Lance Guest does a great job of making a credible character out of Kyle Lang and Jack Rader seethes with menace as Ed Meecham. Forget Fearful Symmetry's dubious originality and just enjoy it as a deeply satisfying X File.",pos
"...in an otherwise ghastly, misbegotten, would-be Oedipal comedy.<br /><br />I was the lone victim at a 7:20 screening tonight (3 days after the movie opened) , so there is some satisfaction in knowing that moviegoers heeded warnings.<br /><br />The bloom is off Jon Heder's rose. The emerging double chin isn't his fault; but rehashing his geeky kid shtick in another bad wig simply isn't working. It would be another crime if this were to be Eli Wallach's last screen appearance. Diane Keaton will probably survive having taken this paycheck - basically because so few will have seen her in this, the very worst vehicle she's chosen in the last few weeks.<br /><br />Sitting alone in the theater tonight I came alive (laughed, even) whenever Daniels was given the latitude in which to deliver the film's sole three dimensional character. He really is among our very best actors.<br /><br />In summary, even Jeff Daniels's work can't redeem this picture.",neg
"I originally saw this very dark comedy around 2000 or so on cable TV. What a surprise and delight! Everyone is covertly armed in this movie! Dreyfuss plays the ""mental"" don (remember the New York don who was supposed to be schizophrenic? Art imitates life or vice-versa?). Diane Lane and Ellen Barkin are at their most beautiful and NOT to be toyed with! Thus proving that beauty and toughness DO go together! Then there is the great ""bullshit"" scene between Barkin and Jeff Goldblum (Rita and Mickey) where they verbally play off the world ""bullshit."" This film is both subtle and bald. For all the shooting, it can be a very quiet film. And, you have the opportunity to see several actors in their final or near final roles. Joey Bishop. Richard Pryor. Henry Silva. It is not a film for everyone. But, if you like a film that has a lot of word play and keeps moving without blowing up everything in sight, this is the film for you. Roger Ebert dumps on this film. He's flat wrong. THIS is a fine, fine film! Maybe just not one for Ebert. I consider it as a 10 because of how well it is done and how funny the script can be, while not really being a straight comedy kind of film. I like it so well that I bought it on DVD because it just doesn't get shown very much on cable TV. Now, it's all mine!",pos
"I watched this as one of the movies in Rhino's Horrible Horrors Vol. 1 box set. While it wasn't entirely horrible, it was pretty poor.<br /><br />It starts off with some narration (which is absent for the rest of the movie), and a scene of a monk turning Satanist in the 1300s or something like that. Then in the present day, the death of a priest who was secretly a Satanist prompts a nun to go undercover to try to infiltrate the Satanists. She isn't given much to do for most of the movie, though.<br /><br />There's a young woman who had been abused by her father and a group of child pornographers who plans to get married. Apart from the sexual abuse as a child, she's never had sex. Her grandfather is one of the Satanists and plans to use her in a sacrifice. He would like to take over the group.<br /><br />There's also the Satanist's goon, who goes about like a slasher killing some people, abducting others. The cinematography and editing and so on aren't incompetent, but the acting and story are pretty lifeless. Surprisingly, there's no nudity. There's not a whole lot of blood, but there is some, and towards the end some people rapidly age or melt, I'm not sure.",unsup
"""Nada"" was the most inadequate follow-up to ""Les NOces Rouges"" which,with hindsight,appears now as the last good movie of Chabrol's golden era (1967-1973) ""Nada"" is Chabrol's first real attempt at a wholly political movie;its previous work ""les Noces Rouges"" had also political elements but it was more a psychological thriller with the usual look at society in French provinces.""Nada"" includes terrorists,ambassador,hostage-taking,a lot of blood,not really Chabrol's field.A heterogeneous cast gives the movie the coup de gr̢ce :only Duchaussoy,who had already played with the director ,and Maurice Garrel are up to scratch.Viviane Romance ,one of Duvivier's actresses (""la Belle Equipe"" ""Panique"") ,is wasted as a madam (Gabrielle).Italian actors (Fabio Testi,Lou Castel)are awful.<br /><br />With ""Nada"" this a second period of barren inspiration for Chabrol .It would be ""Violette Nozi̬res"" before he was again at the top of his game.",neg
"Let's see.... take one of the more infamous literary staples, namely the Gor books by John Norman, convert it to film and you'd think you'd be onto a winner. Why? Well, the Gor books, for those of you who haven't had the pleasure, or pain, can be summed up as follows: Conan with pornography. Each and every novel was chock full of porn, sado-masochism and bondage. In short, a ""raging-hormone-male-teenager's"" wet dream. Hidden amongst the sleaze and thinly-veiled attempts to make the reader think of women as nothing but objects, there are actually some pretty good action-adventure stories. So it would seem that converting them to celluloid would be a winner, even if only on the soft-porn circuit.<br /><br />Sadly, Outlaw of Gor is nothing like the books. Given my description above, some might breathe a sigh of relief at that. Unfortunately, by taking away the sex, having a budget less than that of the average teenager's weekly pocket money and doing some awful re-inventing of the novels' original ideas (yes there were some!), the filmmakers literally killed the golden goose and replaced it with a prize turkey.<br /><br />Outlaw is just horrendous throughout, from the acting, the sets, the laughable ""costumes"", the editing and dialogue right down to the fight scenes that appeared to have been choreographed by the Marx Bros. But the worst thing is seeing how little they used the original material. Nevermind the porn, they plucked names out of the books and didn't do a whole lot else. Tarl Cabot, the hero of the novels, is translated into a weedy vegetarian who is totally against slavery - a complete reversal from the novels. Likewise the Priest-Kings - In the books alien insectoids who ruled the planet. In the movie we get.....Jack Palance, who doesn't seem to be in command of his own lines, let alone the planet. And yes, Jack leers and mugs his way throughout the movie, at least having the grace to look embarrassed at several points.<br /><br />The plot is feeble, centering around an evil Queen's attempts to take control of the city of Koroba by murdering her husband and blaming it on Cabot. There then follows interminable amounts of wandering about in the desert by Cabot and his midget henchman (I kid you not!). We're also treated to far too many shots of the midget's rear end during the film (I mentioned the costumes were rubbish, didn't I?) and awful moralising dialogue by Cabot about the evils of slavery.<br /><br />There are no special effects to speak of - the budget was too miniscule for that, just the heady excitement of one lame swordfight after another. At the end, which really sums up the whole movie and had me in hysterics, Tarl Cabot makes as if to snap his sword over his knee - a symbolic gesture of peace. Would have been good too, except that the sword does not break - it bends into a U shape like it was made out of thin tin. Yep, that's Outlaw of Gor for ya - all bent out of shape.<br /><br />Even on MST3K this is one of the lamest excuses for a movie. It really is best avoided.",unsup
"I would only recommend seeing this show if you have a liking for kung-fu movies. The point is that it makes fun of low budget, classic kung fu shows. If you don't laugh and enjoy the bad acting and cheapness of martial arts movies, you won't enjoy this show. In the first 15 minutes of the movie, I was starting to wonder about where James Lew was going with this show, and if he could pull it off successfully. Once you figure out his style of humour, it's enjoyable. Maybe it's just because I have a big kung fu movie collection and I'm of Chinese descent... If you're a true martial arts movie lover, rent this movie.",unsup
"Tenko is a series I first watched at the tender age of 13 years back in 1981. From the word go it gripped. The acting is supreme: Ann Bell, Stephanie Cole, Stephanie Beacham are tremendous. The viewer lives and breaths the ordeal of the characters in a way that no other TV series has ever managed. It is head and shoulders clear of the rest. Having purchased the full DVD set, including reunion, a handful of years ago I am shortly to embark on my tenth viewing of the run.<br /><br />I was sorry to have missed Paul O'Grady's 25 year celebration in October 2007. I can't believe that the cast are now approaching 70. It makes me feel old and long for the days before reality TV ruled when good drama and sitcoms proliferated.",unsup
"I absolutely loved this movie during the free screening in San Francisco this evening. At its end, the film received claps, cheers and shouts of approval by the majority of the audience. The child actors were terrific, especially Freddie Highmore whose facial expressions alone carried more emotion than any screenwriter's words could. The music was amazing...the guitar work, incredible singing by young Leon G. Thomas III, and the gospel singers (especially Jamia Simone Nash). The blending of classical, rock and street-sounds music was phenomenal. The movie was funny, poignant and a tear jerker. Heck with realism...I'm more than ready for a little bit of magic in my entertainment these days! Great film for families with teenage children. Younger ones might be a bit frightened by, as someone else said, the Fagan-like character played by Robin Williams and the intro bullying. So this may be a film to rent on DVD to show the younger ones so parents can discuss scenes with them or provide parental oversight for your particular child. But no bad language, no visible sex scenes (although we do know it occurred), and overall a delightful film. I rarely if ever buy DVDs except for old classics but this will be one of the exceptions. Also, the soundtrack should be terrific. When can I see this again?",unsup
"and I hated it.<br /><br />My friend had raved to me about this show. I guess I liked the idea, and thought the few sketches she described to me sounded very funny. So I gave it a chance. I watched a few episodes on YouTube. I tried to like it. I made myself think I liked the show. However, I couldn't keep up this charade. And when I found out it was on EVERY night on my favourite channel, as a replacement to some of my most-liked shows - I couldn't help but be very annoyed. I thought, ""They replaced the Boondocks and Bromwell High with THIS?!"" Really...I found it pretty odd that people could like this show. I don't have anything against crude comedy - in fact, I love it when it's well done. Take the first, second, and third seasons of Family Guy, which are well-scripted and still very funny. I just can't take this, though. Most of the time, it's 80s references that go over the heads of their target audience, or bodily function jokes. There were only a few gags that I found truly funny...<br /><br />I think my dislike of this show might be because of the lack of consistent, well-formed characters. I tend to be drawn towards character-based animated comedies. The lack of that element, combined with the ""humour"", contribute to a very bad show.<br /><br />I think Seth Green's marvelous on Family Guy as Chris Griffin. And I can imagine how much fun this show must be to make - whenever the writers think up another ""brilliant"" gag, they can just insert it into their next episode.<br /><br />I tried to like it, I did. But I guess I'm not a fan of someone vomiting in every episode. I wonder if it's just me?",unsup
"L'Auberge Espagnole is full of energy, and it's honest, realistic, and refreshing. Not a comedy or drama but more a slice of life movie about this particular group of very interesting but still normal young people who share an apartment in Barcelona for one year. Beautifully photographed with a nice soundtrack. If you're older, this movie should bring back a flood of good memories. If you're young, learn by this example.",pos
"I can't figure out how anyone can get a budget for a movie this bad. It's like the TV station are desperate for anything, anything at all. They're buried underneath a bunch of snow, the electricity constantly flashes on and off, yet magically there is a background light that stays constant. Where does all this (fake) light come from? That, and all that stupid bickering between the characters. They seem to be more interested in complaining to each other than trying to invent ways to survive. It tries to create that feel of emergency and people helping. But because it's such bad directing and acting, you will not your Florence Nightingale fix with this flick, sorry. I'm joining the negative feedback, and I concur that this is one of the worst movies ever.",neg
"`The Garden of the Finzi-Continis' stands out from the scores of films about the Fascist persecution of Jews due, in no small part, to director Vittorio De Sica. His veteran hands crafting an excellent story into a masterpiece.<br /><br />The story focuses on a young Italian-Jew and his interaction and quest for romance with the daughter of a wealthy Jewish aristocrat. The trials of their relationship coming during the growth of Fascism in Italy in the late-1930s. Even the viewer can feel the segregation closing on the two young people and their families.<br /><br />But even the superb drama of the film cannot hold a candle to the awesome cinematography of beautiful scenery that adds vitality to the film. The acting is good, mostly from the supporting cast, but occasional spouts of brilliance come from all directions. <br /><br />Exceptional. 9/10 stars.",unsup
Most definitely the worst Columbo ever dreamt up. No murder and the abandonment of the tried and tested formula makes this a real drag. Falk looks bored throughout and so will you be if you waste anytime watching this.,neg
"Only Takashi Miike could make a film like that. This movie is very symbolic, and bizarre. Izo is story about an evil spirit, who once was an assassin, who travel trough time and realms, to avenge his death. Miike have expressed his feelings in a very unnatural way. The question is what is ""Izo""?, there are many answers to the question, my personal opinion is that, Izo is the Japanese part of the second world war, and japan in war situation trough the history, and the cruelty of the human nature, he is the dark side of every person. Miike show you clues pretty clear in the movie. When he kills his first victim he ask him, are you so brutal because you are human or human because you are brutal?(cruelty of the human nature). He shows also how religion can be misused, in personal interest and how hypocritical it can be. In the scene where he kills his own mother is also an symbolic example, his mother says ""killing me is like killing yourself Izo"", when a population corrupts and destroy there country they destroy there own system...they destroy themselves. The whole thing start to make sense if we relate it to the second world war. In the beginning Izo looks like an ordinary person ,cool, but later on he becomes more fierce, he even kills children and innocent people, civilian people are those who suffer the most in a war. With other words the war from the Japanese side didn't look like bad thing, but later on they saw the cruelty of the war. In the end Izo do look like a monster, with a mask, evolution... changes of war how it changes in a negative way, mask is an accessory, just like the army used armored weapon in later wars.<br /><br />Izo is brilliant movie, I'm not saying that everyone going to like it, because entertainment for everyone does not exist. A must for Miike fans ;)",unsup
"This film is basically two hours of Dafoe's character drinking himself - nearly literally - to death. The only surprise in this film is that you didn't have enough clues or character knowledge to be surprised. It was just a grim, sad waste of time.<br /><br />Willem Dafoe is excellent actor. Peter Stormare is an excellent actor. But this film just sucked. Slow doesn't make the movie bad, it was just bad. The sketchy plot mixed with artistic ramblings of anamorphic detail aren't cohesively drawn together in a meaningful way for a plot except to highlight some gore which is illustrated from several perspectives, finally at the end. I really appreciate the artistic vision, but as entertainment, it put me to sleep. (Seriously, I fell asleep and had to re-watch the film - which was even more disappointing.)<br /><br />I generally don't like to make negative comments or reviews on the works of others, even when they suck, but this film warranted one. It's just too bad that these great actors were shamed with this end result.",neg
"People forget about the amazing comedy that comedians Steve Martin and Rick Moranis have. From Little Shops of Horror, to LA Stories and Parenthood, Martin and Moranis are equally as funny and talented as Wilder and Pryor or even Martin and Lewis. They are not only funny but have a chemistry that allow the two actors to be different characters. In My Blue Heaven, Steve Martin proves he can play Italian. Not since Al Jolsen does an actor make fun at a nationality so well by doing it so fake. This is one of very few perfect comedies that tells a comedy without jokes. The characters alone make the movie funny, even though they are not aiming to make you laugh. Well, some are, but the overall drama of the movie makes you laugh. In a story like this, the characters can do no wrong.",unsup
"Sergeant Ryker is accused of being a traitor during the Korean War, a hanging offense. A long drawn out court-marshal ensues during which time the Sgt. must remain in a military jail. After much investigation the defense attorney attempts to exonerate the doomed non-com with an eleventh hour ploy. Very good picture.",pos
"This was truly the most painful experience I have had in quite some time in a movie theater. I will forego such facile criticisms as 'maudlin' or 'historically inaccurate' or 'horse's crap's crap' because quite simply our sympathies would then immediately go out to these words. If a director's to make a sweeping grandiose love epic, well for god's sake MAKE A REAL DAMN SWEEPING GRANDIOSE LOVE EPIC! Why bother with such laughably unconvincing second rate harlequin romances and such boring interchanges between characters we could care less about when the most decisive battle on Canadian soil is taking place? And for the pompous people thinking 'oh well, this story must center characters!"" well you're wrong, dead wrong.",neg
"Stars: The Beatles as themselves and various characters.<br /><br />I have no idea what the Beatles were thinking when they made this, and I'm sure neither did they. ""Magical Mystery Tour"" has the loose story of a group of people on an English tour bus that's out of the ordinary. Strange things happen on this bus, like random music videos and really random dreams of food and love. I guess making this movie was a way to show off some of the Beatles' songs, but I would've much preferred the music videos to sitting watching this. It makes too little sense for it's own good. The reason this deserves a 3, is because I did enjoy some of the songs (which were spread out, making us wait through nonsensical sub-plots), and even though it was totally random, some of the daydreams amused me. The I am the Walrus segment of this is so strange, with an already out there song, now made in to a music video where they were walrus heads and cut to random fires and John Lennon dressed as the egg man. One of the main positives for this, is it is short, running at only around an hour, so you don't have to sit through much. I'd really only recommend this to Beatles' fans, or for people that want to really experience a bad acid trip. For me, this is much worse than the already lacking Yellow Submarine film, and is almost unwatchable.<br /><br />My rating: * 1/2 out of ****.",unsup
"The film, Cyborg was a relatively unimpressive movie. I explored that the realism within was quite lacklustre, with reference to when Van Damme's character escapes from the crucifiction cross - then began a mighty fighting scene, which was highly disappointing to the viewer.<br /><br />The antagonist was also quite disappointing on appearance and acting skills. His fighting technique was quite pitiful, and although so was Van Damme's, the slugfest was rightly won by the 'Muscles from Brussels'.<br /><br />To recommend this film to a friend, would make them believe that i was the enemy. The film showed glimpses of hope, but nothing progressed from it. A very disappointing film.",unsup
"An interestingly boring film which I managed to watch all the way through. I don't know how I did though. The acting was appalling and the story line was mediocre.<br /><br />A story of a man who was taken from his family as a baby and turned into to a human telepathic machine where he can move anything with his mind. He escapes and finds his sister and they run form the army and a select few special ops officers.<br /><br />Only watch if you like bad acting.<br /><br />I mean that!!<br /><br />My rating - 3/10",unsup
"First off, I can remember vaguely being told this story in primary school, about 6 or 7 years ago so I am sort of familiar with the story.<br /><br />A lot of that has changed however, and there are many differences and mistakes (sometimes unnecessary) in the film that die hard fans will not appreciate.<br /><br />However as a whole I really love this film. I first saw it near Christmas about 2 years ago (well the 1st part) then caught the whole thing again last Christmas probably on the same channel.<br /><br />I was very impressed, at times it may be a bit overdrawn and long, but with an engaging story, decent acting (especially from frosty Fonda and Hobbs) and beautiful scenery, costume and little touches of magic make this a really special film - which for me really reminds me of Christmas.<br /><br />Despite differences from the book, I think the film does well to incorporate new themes and ideas (the seasons with Autumn, Winter etc. with I think a new thief character to represent Autumn) throughout the imagery once you notice is quite startling and brilliantly executed.<br /><br />I live in the UK so have waited a long time for the DVD, and luckily enough I saw an advert showing a series of free DVD's being offered in the Daily Mail newspaper which I don't normally get, so I got yesterdays issue and finally have my DVD. If you missed it and want this rare DVD for region 2 I suggest you collect the tokens from the Daily Mail and send them off as your DVD will then be delivered by Christmas.<br /><br />So for a bit of escape into the Christmas season this year, put on your fire, get cosy and watch this as you and kids probably will really enjoy this great film. If you don't have it, it will probably be repeated on Channel 4 this Christmas, so record it!",pos
